variable,model,model_role,fit_status,logLik,AIC,AICc,parameter_summary,fit_warning,fit_error,best_AICc_for_variable,delta_AICc
precipitation_in_coldest_quarter,mean_trend,sensitivity_only,ok,-70668.40827040434,141342.81654080868,141342.8190363894,sigsq=22855.5; drift=-99.9999; z0=11956.3,none,NA,135516.69840053283,5826.120635856583
precipitation_of_coldest_quarter,BM,primary,ok,-70668.40827536477,141340.81655072953,141340.81779839017,sigsq=22855.5; z0=268.345,none,NA,135516.69840046566,5824.1193979245145
precipitation_of_coldest_quarter,EB,sensitivity_only,ok,-70668.42143575769,141342.84287151537,141342.8453670961,a=-1e-06; sigsq=22858.1; z0=268.345,"
Parameter estimates appear at bounds:
	a",NA,135516.69840046566,5826.146966630447
precipitation_of_coldest_quarter,lambda,primary,ok,-67755.34795244246,135516.69590488492,135516.69840046566,lambda=0.773662; sigsq=2120.62; z0=282.313,none,NA,135516.69840046566,0
precipitation_of_coldest_quarter,delta,primary,ok,-1e200,2e200,2e200,delta=7.12458e-218; sigsq=22857.9,"
Parameter estimates appear at bounds:
	delta",NA,135516.69840046566,2e200
precipitation_of_coldest_quarter,mean_trend,sensitivity_only,ok,-70668.40827040434,141342.81654080868,141342.8190363894,sigsq=22855.5; drift=-100; z0=11956.3,none,NA,135516.69840046566,5826.120635923755
precipitation_of_wettest_quarter,BM,primary,ok,-71027.47461949979,142058.94923899957,142058.9504866602,sigsq=24626.8; z0=581.199,none,NA,136705.53718158937,5353.413305070833
precipitation_of_wettest_quarter,EB,sensitivity_only,ok,-71027.48735915808,142060.97471831617,142060.9772138969,a=-1e-06; sigsq=24629.6; z0=581.198,"
Parameter estimates appear at bounds:
	a",NA,136705.53718158937,5355.440032307524
precipitation_of_wettest_quarter,lambda,primary,ok,-68349.76734300432,136705.53468600864,136705.53718158937,lambda=0.887992; sigsq=3867.47; z0=590.854,none,NA,136705.53718158937,0
precipitation_of_wettest_quarter,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=24629.3,"
Parameter estimates appear at bounds:
	delta",NA,136705.53718158937,2e200
precipitation_of_wettest_quarter,mean_trend,sensitivity_only,ok,-71027.47460402659,142060.94920805318,142060.9517036339,sigsq=24626.8; drift=100; z0=-11106.8,none,NA,136705.53718158937,5355.414522044535
precipitation_wettest_month,BM,primary,ok,-60995.277187271975,121994.55437454395,121994.55562220459,sigsq=3059.82; z0=204.368,none,NA,116564.56155126123,5429.994070943358
precipitation_wettest_month,EB,sensitivity_only,ok,-60995.28998286718,121996.57996573436,121996.5824613151,a=-1e-06; sigsq=3060.17; z0=204.368,"
Parameter estimates appear at bounds:
	a",NA,116564.56155126123,5432.020910053878
precipitation_wettest_month,lambda,primary,ok,-58279.27952784024,116564.55905568048,116564.56155126123,lambda=0.883922; sigsq=466.155; z0=207.729,none,NA,116564.56155126123,0
precipitation_wettest_month,delta,primary,ok,-1e200,2e200,2e200,delta=7.02931e-174; sigsq=9.78998e-26,none,NA,116564.56155126123,2e200
precipitation_wettest_month,mean_trend,sensitivity_only,ok,-60995.277142962426,121996.55428592485,121996.5567815056,sigsq=3059.82; drift=100; z0=-11483.6,none,NA,116564.56155126123,5431.995230244371
temperature_annual_range,BM,primary,ok,-58079.44334837144,116162.88669674288,116162.88794440351,sigsq=1668.98; z0=163.252,none,NA,110942.81219048033,5220.075753923185
temperature_annual_range,EB,sensitivity_only,ok,-58079.45596623915,116164.9119324783,116164.91442805904,a=-1e-06; sigsq=1669.18; z0=163.252,"
Parameter estimates appear at bounds:
	a",NA,110942.81219048033,5222.102237578714
temperature_annual_range,lambda,primary,ok,-55468.40484744979,110942.80969489958,110942.81219048033,lambda=0.916039; sigsq=316.046; z0=162.855,none,NA,110942.81219048033,0
temperature_annual_range,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=1669.16,"
Parameter estimates appear at bounds:
	delta",NA,110942.81219048033,2e200
temperature_annual_range,mean_trend,sensitivity_only,ok,-58079.44327727215,116164.8865545443,116164.88905012504,sigsq=1668.98; drift=99.9999; z0=-11524.7,none,NA,110942.81219048033,5222.076859644716
temperature_seasonality,BM,primary,ok,-90875.58630310105,181755.1726062021,181755.17385386274,sigsq=1.52512e+06; z0=2638.88,none,NA,176483.70772186446,5271.466131998284
temperature_seasonality,EB,sensitivity_only,ok,-90875.59890766212,181757.19781532424,181757.20031090497,a=-1e-06; sigsq=1.5253e+06; z0=2638.88,"
Parameter estimates appear at bounds:
	a",NA,176483.70772186446,5273.492589040514
temperature_seasonality,lambda,primary,ok,-88238.85261314186,176483.70522628372,176483.70772186446,lambda=0.921302; sigsq=298067; z0=2649.43,none,NA,176483.70772186446,0
temperature_seasonality,delta,primary,ok,-1e200,2e200,2e200,delta=3; sigsq=1.52528e+06,"
Parameter estimates appear at bounds:
	delta",NA,176483.70772186446,2e200
temperature_seasonality,mean_trend,sensitivity_only,ok,-90875.58630096716,181757.17260193432,181757.17509751505,sigsq=1.52512e+06; drift=99.9999; z0=-9049.12,none,NA,176483.70772186446,5273.4673756505945
