PC1,PC2,PC3,PC4,PC5,PC6,tree_label,display_PCx_oriented,display_PCy_oriented
-0.10643502376934559,-1.43120074992902,0.14014001513834257,-0.06043486106831989,0.10106926309894594,-0.35329754774875316,geospiza_acutirostris,-0.06043486106831989,0.14014001513834257
0.4562331198709488,-1.5570593865999316,-0.3096149759084302,-0.164867609669279,-0.050434373708387846,-0.3249387058827046,geospiza_fortis,-0.164867609669279,-0.3096149759084302
-0.10643502376934559,-1.43120074992902,0.14014001513834257,-0.06043486106831989,0.10106926309894594,-0.35329754774875316,geospiza_propinqua,-0.06043486106831989,0.14014001513834257
0.4483222645908223,-1.5626539039405785,-0.3110794718018976,-0.15828257339033341,-0.05131236979089072,-0.32454761584893005,geospiza_scandens,-0.15828257339033341,-0.3110794718018976
0.3313285522382975,-1.57056260975559,-0.35731617585085623,-0.0338644884440206,-0.09071119844887769,-0.3081728920096757,geospiza_conirostris,-0.0338644884440206,-0.35731617585085623
0.46587818125791913,-1.5778659738608938,-0.29955400866412274,-0.16483771556241644,-0.04717315643024594,-0.32766115304142834,geospiza_magnirostris,-0.16483771556241644,-0.29955400866412274
0.41252201360481816,-1.5678851539954233,-0.2400616542459011,-0.16046116964514576,-0.03245951937109025,-0.3322017691445195,geospiza_difficilis,-0.16046116964514576,-0.2400616542459011
0.4637594958877352,-1.5348332794644102,-0.3038637856216432,-0.18054486995745062,-0.04638612324992645,-0.32525493346194984,geospiza_fuliginosa,-0.18054486995745062,-0.3038637856216432
0.3980401822965874,-1.4849550034416976,-0.2916115513180218,-0.1597857311573647,-0.05306195265502167,-0.321121245949231,platyspiza_crassirostris,-0.1597857311573647,-0.2916115513180218
0.4809740419682832,-1.58315031606049,-0.3132143799576634,-0.1666460047559195,-0.05165408876739589,-0.32681490079853903,certhidea_olivacea,-0.1666460047559195,-0.3132143799576634
0.25481132862496275,-1.4977083581233397,-0.2807536866551785,-0.0857813575227757,-0.04916044032593726,-0.315371161455272,certhidea_fusca,-0.0857813575227757,-0.2807536866551785
-0.1970951765114419,-0.6848854221882936,-0.1912210312262208,0.011615094090940048,7.191863140576466e-4,-0.010494166370642386,asemospiza_fuliginosa,0.011615094090940048,-0.1912210312262208
0.03050052724321997,-0.8659313847306833,0.0449467395340141,8.225383884455783e-4,-0.17501955857411913,0.040316008920721284,asemospiza_obscura,8.225383884455783e-4,0.0449467395340141
-0.20499675570521667,-1.5309331150190235,-0.14433718812054794,-0.08971962773796525,-0.16809574121214335,-0.09509893514543133,melanospiza_bicolor,-0.08971962773796525,-0.14433718812054794
-1.402023650575368,-0.6680406632224857,0.2735320370559336,0.01773805541153209,-0.46053095708243036,-0.17048656281894586,melanospiza_richardsoni,0.01773805541153209,0.2735320370559336
-0.11768095331378041,-1.4073236538737601,0.16688040051962788,0.06145838761819588,-0.2190634664912762,-0.08984556936653508,phonipara_canora,0.06145838761819588,0.16688040051962788
-0.7975377030349762,-1.4448454594582831,-9.413878150257045e-4,0.033370048346376836,-0.24543925091033053,-0.2338620679170862,loxigilla_barbadensis,0.033370048346376836,-9.413878150257045e-4
-0.9930241193733272,-1.0666393703373955,0.07961882414449709,0.047811644358420176,-0.380084621630248,-0.20025510981488007,loxigilla_noctis,0.047811644358420176,0.07961882414449709
