x,y,confidence_level,confidence_label,ellipse_area,extant_convex_hull_area,ellipse_area_to_extant_hull_area_ratio,ellipse_area_relative_to_extant_space,covariance_condition_number,covariance_used_nearPD
-0.8946146655368472,-0.44535945384663345,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8897161719633223,-0.46220070084904896,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8844072129267094,-0.4789199375681775,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8786901327138656,-0.49550978125974987,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8725674558264706,-0.5119629063158148,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8660418858662775,-0.5282720474995221,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8591163043412783,-0.5444300031532459,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8517937693933113,-0.5604296383786347,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8440775144476722,-0.5762638881871811,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8359709467853231,-0.591925760619922,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8274776460383346,-0.6074083398348905,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8186013626092205,-0.622704789160958,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.8093460160148654,-0.6378083541167145,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7997156931557767,-0.6527123653930585,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7897146465114244,-0.6674102417981752,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7793472922624659,-0.6818954931636063,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7686182083406844,-0.6961617232101253,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7575321324075034,-0.7102026323721543,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7460939597619698,-0.7240120205794752,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7343087411791258,-0.7375837899950058,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7221816806797304,-0.7509119477074331,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.7097181332323091,-0.7639906083775142,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6969236023885518,-0.7768139968368765,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.683803737853098,-0.7893764506381695,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6703643329887878,-0.801672422555442,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6566113222584742,-0.8136964830336413,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6425507786045329,-0.8254433225861509,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6281889107672207,-0.836907754139312,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.6135320605430719,-0.8480847153228872,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5985866999845381,-0.8589692707054624,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5833594285421126,-0.869556613973793,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5678569701501998,-0.8798420700551381,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5520861702580129,-0.8898210971816394,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5360539928068185,-0.8994892888958387,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5197675171548548,-0.9088423759964461,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.5032339349512869,-0.9178762284234978,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.48646054696057606,-0.9265868570820754,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.46945475983866936,-0.9349704156037776,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.4522240828624271,-0.9430232020451678,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.4347761246137386,-0.9507416605224488,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.41711858961978643,-0.9581223827816409,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.3992592749509444,-0.9651621097035694,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.3812060667778093,-0.9718577327430028,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.3629669368888925,-0.9782062953012959,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.34454993917050014,-0.9842049940319424,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.3259632060503652,-0.989851180078453,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.3072149449065956,-0.9951423602440165,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.2883134344435272,-1.0000761980924244,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.26926702103608136,-1.004650514979776,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.25008411504424033,-1.008863291016506,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.23077318709926928,-1.0127126659593115,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
-0.21134276436332414,-1.0161969400325817,0.5,50%,2.5429382804031353,17.030230446103936,0.14931907635958572,moderate,1.3501159466226247,FALSE
