species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Thlypopsis pyrrhocoma,thlypopsis pyrrhocoma,thlypopsis_pyrrhocoma,0.008452778492111245,-0.19964819678942552,0.001743109966384243,TRUE,TRUE,TRUE,50%
Dendropicos fuscescens,dendropicos fuscescens,dendropicos_fuscescens,0.06020063863592482,-0.15984211760256997,0.0018105898153949395,TRUE,TRUE,TRUE,50%
Creatophora cinerea,creatophora cinerea,creatophora_cinerea,0.0060129683831026985,-0.19623131897835636,0.0018445215387945333,TRUE,TRUE,TRUE,50%
Aythya marila,aythya marila,aythya_marila,0.019245053551247983,-0.16198850850559152,0.001887681565752244,TRUE,TRUE,TRUE,50%
Vanellus crassirostris,vanellus crassirostris,vanellus_crassirostris,0.05299266781091147,-0.2139282208515827,0.001894733365370678,TRUE,TRUE,TRUE,50%
Phytotoma rutila,phytotoma rutila,phytotoma_rutila,0.06171333984038015,-0.20912889361406123,0.0019127693507412866,TRUE,TRUE,TRUE,50%
Icterus auricapillus,icterus auricapillus,icterus_auricapillus,0.004891002580175354,-0.19675379297534268,0.0019747957470215845,TRUE,TRUE,TRUE,50%
Zonotrichia leucophrys,zonotrichia leucophrys,zonotrichia_leucophrys,0.06535053184746295,-0.20709337530957697,0.002005176288157859,TRUE,TRUE,TRUE,50%
Hylophilus poicilotis,hylophilus poicilotis,hylophilus_poicilotis,0.0030735127278646007,-0.1908816298685177,0.002042111261037896,TRUE,TRUE,TRUE,50%
Ornorectes cristatus,ornorectes cristatus,ornorectes_cristatus,0.012326284463265306,-0.2096344472841221,0.0020708596688819043,TRUE,TRUE,TRUE,50%
Strix hylophila,strix hylophila,strix_hylophila,0.014650269839212538,-0.16359316368001234,0.002079189302989523,TRUE,TRUE,TRUE,50%
Talaphorus chlorocercus,talaphorus chlorocercus,talaphorus_chlorocercus,0.06291775662758942,-0.2109518391378562,0.0021851674112528465,TRUE,TRUE,TRUE,50%
Cecropis abyssinica,cecropis abyssinica,cecropis_abyssinica,0.07104954517914171,-0.16392764038616553,0.0022315500377432713,TRUE,TRUE,TRUE,50%
Circaetus pectoralis,circaetus pectoralis,circaetus_pectoralis,0.00932110418555248,-0.1661355830525428,0.0023298808496952953,TRUE,TRUE,TRUE,50%
Euphonia xanthogaster,euphonia xanthogaster,euphonia_xanthogaster,0.042342733288879934,-0.1504498398229644,0.002439159504942828,TRUE,TRUE,TRUE,50%
Lichmera deningeri,lichmera deningeri,lichmera_deningeri,0.07697040881070503,-0.19737806084534212,0.002454276340088278,TRUE,TRUE,TRUE,50%
Microchera cupreiceps,microchera cupreiceps,microchera_cupreiceps,0.06822640612828448,-0.15864580282489876,0.0024615826878100354,TRUE,TRUE,TRUE,50%
Melanitta nigra,melanitta nigra,melanitta_nigra,0.07844457505491864,-0.16639321268729523,0.002794058775681009,TRUE,TRUE,TRUE,50%
Chondrohierax wilsonii,chondrohierax wilsonii,chondrohierax_wilsonii,0.03730452923722043,-0.14803366446447672,0.002834434540746652,TRUE,TRUE,TRUE,50%
Pionopsitta pileata,pionopsitta pileata,pionopsitta_pileata,0.026503802584988214,-0.22311982726334398,0.0028434207537880204,TRUE,TRUE,TRUE,50%
Melospiza lincolnii,melospiza lincolnii,melospiza_lincolnii,0.08334331497443874,-0.1877489251693382,0.0028877704155494607,TRUE,TRUE,TRUE,50%
Melanitta americana,melanitta americana,melanitta_americana,0.036939264328844444,-0.14755066622654903,0.0029133664277558756,TRUE,TRUE,TRUE,50%
Carpodacus rhodochlamys,carpodacus rhodochlamys,carpodacus_rhodochlamys,0.002169041211091983,-0.20875761091829603,0.0029359955318682533,TRUE,TRUE,TRUE,50%
Cantorchilus longirostris,cantorchilus longirostris,cantorchilus_longirostris,0.06390171416509421,-0.21709104233487503,0.0029756839137056804,TRUE,TRUE,TRUE,50%
Euphonia chalybea,euphonia chalybea,euphonia_chalybea,0.0667915235370552,-0.2154238577248158,0.0030127086147216887,TRUE,TRUE,TRUE,50%
Hypsipetes rufigularis,hypsipetes rufigularis,hypsipetes_rufigularis,-0.0015655363799826762,-0.20441390644967364,0.0030561919764075214,TRUE,TRUE,TRUE,50%
Anthus cinnamomeus,anthus cinnamomeus,anthus_cinnamomeus,0.016826727386421433,-0.2217799498679143,0.003095876066091109,TRUE,TRUE,TRUE,50%
