species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Abeillia abeillei,204.5877324,1889.025919,266.480779,184.516227,198.8810106,143.5354459,187.7068604,187.7068604,920.2901504,327.690515,122.9453521,1249.29009
Abroscopus albogularis,188.4918507,1722.523495,285.8462051,110.1254972,120.9056395,60.54589602,93.21272457,93.21272457,971.0467297,338.0542739,225.2999768,5152.3863
Abroscopus schisticeps,153.3900546,1817.082108,242.2418262,82.68219043,93.50545271,22.22447259,61.39680629,61.39680629,1137.842499,398.360376,220.0174882,4593.884255
Abroscopus superciliaris,238.7177299,2475.50763,289.9553169,210.9512669,217.2559534,173.5346139,458.0827285,458.0827285,1136.281126,396.1593997,116.4206732,1703.098867
Aburria aburri,192.2801474,2067.086065,238.095626,181.1660611,185.9829837,139.6351234,388.9644016,388.9644016,765.7139682,265.6591712,98.45568586,591.2643447
Acanthagenys rufogularis,208.0722301,338.3485507,334.3812128,128.9580215,199.2422726,75.1463173,79.50172606,79.50172606,154.0261619,54.63132386,259.2340062,5378.711109
Acanthidops bairdi,136.5997603,3662.277443,173.9181725,132.5429151,137.6108669,108.2063415,834.7966854,834.7966854,1431.681936,501.4526743,65.71140135,395.2101514
Acanthis flammea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthisitta chloris,96.3140181,1976.000705,175.0645306,53.03297284,116.0005093,26.25720762,501.0742867,501.0742867,584.4750666,200.23527,148.8078989,3171.384523
Acanthiza apicalis,204.4461617,326.6472677,331.2098189,125.6693231,197.0431897,72.60162017,87.70599819,87.70599819,144.2830819,50.9303365,258.607026,5383.887983
Acanthiza chrysorrhoa,192.9077122,445.5685731,314.0182894,119.8433514,191.9713099,70.45724259,112.0672373,112.0672373,186.2646018,65.39545536,243.5605574,5036.372637
Acanthiza cinerea,158.6482318,3271.425852,190.3195956,152.6086691,156.4685971,127.9179893,686.9927911,686.9927911,1086.714628,374.9107934,62.41674871,338.3111252
Acanthiza ewingii,106.3915468,1318.354219,182.4083379,69.61699472,145.840693,48.19916969,418.158756,418.158756,439.9077395,149.935266,134.2138599,2760.544228
Acanthiza inornata,167.2432987,747.7889924,269.0381592,120.7899164,211.712366,86.79179308,351.6051783,351.6051783,399.8251881,135.9783031,182.245763,3594.711499
Acanthiza iredalei,194.5956295,271.5326196,322.3150248,121.709818,208.4227112,72.84369493,94.0689667,94.0689667,105.7703455,37.23838891,249.4691628,5119.408903
Acanthiza katherina,219.6294342,1254.639246,293.2961449,176.9456021,192.1608315,132.6762028,80.69867139,80.69867139,814.1211184,279.1148352,160.6225287,2702.361611
Acanthiza lineata,166.7249074,728.8462033,276.5438954,101.9583937,168.9010212,59.75887034,158.9898143,158.9898143,272.2111323,94.14267483,216.7835463,4525.145055
Acanthiza murina,129.2758289,3380.418087,161.7429348,123.3949199,126.7770063,98.12849957,708.454319,708.454319,1109.526781,383.0529413,63.62266095,328.0474631
Acanthiza nana,188.8921824,674.3334584,299.5381457,119.0120709,171.9546949,71.43694242,118.7318912,118.7318912,290.4735344,101.1056104,228.1003705,4735.690121
Acanthiza pusilla,163.9823366,891.6968172,262.5708999,104.7105106,159.5331005,64.68542604,191.395088,191.395088,346.1849573,119.3898497,197.8859804,4088.771073
Acanthiza reguloides,190.6953271,710.4938715,298.5111681,123.0018108,173.1790157,75.3292988,117.6587802,117.6587802,321.1093295,111.9093451,223.1811115,4568.16118
Acanthiza robustirostris,221.3981453,256.0679489,354.5664408,132.3164551,194.9950837,72.90228497,55.4815338,55.4815338,115.9619063,41.66892961,281.662668,5968.549639
Acanthiza uropygialis,204.5045033,319.4171507,333.7868987,124.0878903,197.9077717,70.56022292,82.1744627,82.1744627,135.8055795,48.15845114,263.2255749,5507.336354
Acanthorhynchus superciliosus,166.7175038,658.8155777,266.6539365,120.3078317,207.710341,85.44255397,295.4533534,295.4533534,330.9974091,112.7984255,181.2113521,3521.095563
Acanthorhynchus tenuirostris,157.3279516,1018.509564,251.2852129,101.8579953,154.972863,64.99642789,214.8379931,214.8379931,408.4514069,140.4614106,186.2897191,3859.225656
Acanthornis magna,104.2572551,1453.095493,180.1832726,67.97178356,144.2885067,46.80157175,469.5707945,469.5707945,491.7258715,167.659528,133.3859441,2736.911516
Accipiter madagascariensis,230.9275409,1711.901021,285.9047848,200.0639237,209.2204678,163.3427259,202.2646143,202.2646143,933.6550639,333.2706239,122.5624352,1981.980928
Accipiter nisus,10.58206595,568.952427,223.8126196,-153.849239,-91.31333608,-192.8481623,92.64169819,92.64169819,254.3434955,89.26612402,416.6609997,11939.32005
Accipiter ovampensis,226.6486745,950.0781447,318.8790256,191.6775307,201.5583257,130.5897425,159.7726138,159.7726138,568.4499631,200.7381036,188.2901672,2257.30344
Accipiter poliogaster,244.4938537,2322.944975,292.3360841,232.4000585,242.3145814,200.5103836,609.9064949,609.9064949,953.0337875,329.4082272,91.82513235,800.6416708
Accipiter rufiventris,168.6771018,1034.478862,256.7641683,134.5307745,144.6710546,75.82325657,257.402907,257.402907,572.2529358,199.0124478,180.9419969,2242.34797
Accipiter striatus,66.51995358,815.7470851,235.8430526,-54.55141809,11.42104665,-98.94712358,153.4189477,153.4189477,341.6380622,119.3514246,334.7902892,8738.338374
Aceros nipalensis,200.9548612,2375.680349,276.0577221,140.989825,150.6105126,85.30711542,58.70194077,58.70194077,1482.976086,521.1008972,190.7508316,3722.340655
Achaetops pycnopygius,218.0944242,383.8765615,312.8236669,178.2815881,183.8020314,104.022588,0.500659731,0.500659731,274.4930343,104.893583,208.8046376,2374.048608
Acridotheres albocinctus,240.955498,1145.659095,336.6879513,183.9115632,204.862318,117.6876849,19.73051923,19.73051923,665.5891086,232.3448095,219.0042534,3224.671514
Acridotheres burmannicus,256.2118408,1491.204305,352.0655955,208.9623912,229.2804102,143.2228027,15.76916984,15.76916984,934.5400144,320.7851224,208.8456669,2688.845883
Acridotheres cinereus,268.0620706,2372.871483,301.5085869,261.4846201,270.603799,243.3301409,442.3979221,442.3979221,1124.121203,401.5253927,58.17595396,470.2915918
Acridotheres cristatellus,179.3207176,1203.509882,305.78659,76.32406756,87.30156598,27.60259824,91.63654898,91.63654898,633.6257684,225.2968773,278.1814668,7052.097101
Acridotheres fuscus,247.1501713,1765.176992,348.4619627,186.6862808,208.2160918,124.1293233,123.6186745,123.6186745,1235.556706,440.2471319,224.331477,3723.082474
Acridotheres ginginianus,253.9463391,808.1371394,396.5620072,158.5058028,216.9107217,85.43482941,38.44414506,38.44414506,699.7647666,249.4897613,311.1275344,5953.782928
Acridotheres grandis,264.2219254,1643.137157,333.4321467,227.4736224,235.0079836,176.0915343,38.3969702,38.3969702,968.7152368,338.9110503,157.3396725,2177.84916
Acridotheres javanicus,264.3883258,2308.905101,301.0908656,258.2975857,263.2726378,229.3543383,718.242137,718.242137,1051.484769,374.0477891,71.7340407,425.5107898
Acridotheres leucocephalus,270.7374959,1597.273348,325.0162938,250.959379,254.7767186,206.9833724,57.49336884,57.49336884,876.5122699,307.8146776,118.0322968,1223.222255
Acridotheres melanopterus,256.5462833,2067.729869,279.3558845,245.0584985,248.6898528,227.3737861,217.6468041,217.6468041,885.8198067,303.4280198,51.99992322,610.0077231
Acridotheres tristis,206.2841125,1198.468454,329.8761862,127.4464396,197.4904423,68.647455,91.98391317,91.98391317,783.0019876,277.4827332,261.2280008,5255.162605
Acritillas indica,260.2628538,2100.450112,325.9041379,241.6947334,256.0240105,199.5674953,822.5460261,822.5460261,1540.350308,579.7897301,126.3362886,1417.266924
Acrobatornis fonsecai,234.7656614,1367.80116,278.6038128,214.1544659,220.3179848,189.5393135,265.1606699,265.1606699,452.1565703,157.6658176,89.05042436,1345.126713
Acrocephalus aequinoctialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus agricola,71.96442106,345.3797032,283.4749223,-85.84012384,8.172544755,-131.2731274,66.16755964,66.16755964,142.9755562,51.35154925,414.7464931,11527.57258
Acrocephalus arundinaceus,75.88485033,449.3862627,270.3949113,-63.9199668,17.06816974,-105.2350824,91.75303029,91.75303029,174.0411565,61.06098128,375.6296807,10271.74695
Acrocephalus atyphus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus australis,201.3627095,981.805855,300.8002985,150.033829,220.0914123,111.4860163,239.5919304,239.5919304,429.1982866,150.2219141,189.3119724,3686.096429
Acrocephalus bistrigiceps,66.22448485,585.7765943,274.1911373,-117.2913648,-104.6264986,-174.6657168,27.45536178,27.45536178,394.1907576,147.0594308,448.8556321,12528.40564
Acrocephalus brevipennis,223.3636593,278.4325431,254.8237274,203.6575123,207.0144602,198.087075,6.169541909,6.169541909,303.6362831,112.0759275,56.76217389,1673.11639
Acrocephalus caffer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus concinens,138.544234,822.6124924,303.2926418,5.239096294,29.48179517,-51.3536553,62.65304083,62.65304083,495.103895,181.7103278,354.6444346,9185.724803
Acrocephalus dumetorum,25.90671972,513.570098,233.4853073,-131.5526575,-77.92165978,-170.8254445,82.77926009,82.77926009,210.1554212,73.57395517,404.3112931,11399.39742
Acrocephalus familiaris,241,1393.921173,266,221,246,214,414,414,559.691312,198,52,1498.389747
Acrocephalus gracilirostris,205.4010595,711.1337136,302.6062186,159.4475937,171.8793277,98.83848016,91.44852001,91.44852001,399.8953492,141.4749009,203.7675842,2915.86113
Acrocephalus griseldis,254.9749232,157.6989532,457.4079083,119.7068151,375.0176658,59.94176051,92.5508491,92.5508491,94.63186279,33.35623785,397.4668657,9625.049819
Acrocephalus hiwae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus kerearako,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus longirostris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus melanopogon,125.7163107,436.1794374,307.079558,5.026712057,139.8367187,-35.96450628,110.7633998,110.7633998,164.0926817,57.95806576,343.0439393,8996.598718
Acrocephalus mendanae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus newtoni,226.1160838,1825.796815,280.8131002,196.212278,205.3861068,159.7774802,210.5067369,210.5067369,1001.537282,358.1422928,121.0366435,1916.330333
Acrocephalus orientalis,73.23728759,638.0292163,278.5515862,-106.9636419,-92.038101,-163.9107426,37.30916133,37.30916133,410.7301127,152.4379814,442.4610177,12338.98912
Acrocephalus orinus,29.08793921,296.0514826,202.5301334,-83.52705247,131.5838593,-139.2743028,76.21302176,76.21302176,173.8872985,60.59943141,341.8037276,8237.957927
Acrocephalus paludicola,79.25911176,585.513199,234.459551,-26.56665087,-9.179682709,-55.09734911,95.26956154,95.26956154,230.4701895,79.08524356,289.5515055,7935.754403
Acrocephalus palustris,70.96092085,609.2106669,244.4281229,-50.05112467,-9.544395526,-83.84360844,112.517048,112.517048,222.8443762,77.32052566,328.2717826,8982.67017
Acrocephalus percernis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus rehsei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus rimitarae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus rodericanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus rufescens,213.6274282,1201.684169,293.2809579,190.5716969,200.8961868,141.55729,246.8758789,246.8758789,602.5909065,211.4648616,151.7240489,1516.757811
Acrocephalus schoenobaenus,42.36294121,494.6724748,240.7677304,-100.3359419,-41.7740386,-137.2050633,91.83250199,91.83250199,188.5547637,65.68478458,377.9730538,10611.73615
Acrocephalus scirpaceus,146.7100304,517.8972485,297.8171967,49.74652132,128.7249198,1.287300242,95.39561993,95.39561993,246.824847,86.56699377,296.530247,6945.00321
Acrocephalus sechellensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus sorghophilus,269.958914,1879.441838,312.1901303,253.1113614,256.2048471,225.4218264,105.0193179,105.0193179,1036.514391,353.5266088,86.79050776,1007.476484
Acrocephalus stentoreus,166.7085975,642.6532892,330.0375299,54.16871964,206.3861284,-0.995832249,82.6538053,82.6538053,373.7082113,130.8198875,331.0328221,7900.58806
Acrocephalus syrinx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus taiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocephalus tangorum,16.21587772,532.7133996,256.5953,-208.607024,-183.1288838,-266.7980618,18.52224987,18.52224987,369.5970182,133.2372802,523.3924474,15174.67934
Acrocephalus vaughani,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrochordopus burmeisteri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrochordopus zeledoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acropternis orthonyx,137.0262385,1863.735592,181.2179573,131.2225398,135.7902404,93.3873746,384.7022649,384.7022649,675.5389851,234.2464693,87.83076246,324.9052923
Acryllium vulturinum,259.3099411,454.6279953,332.2833001,244.4668236,257.834224,195.70202,97.68019653,97.68019653,287.2648727,115.4731108,136.5820537,1086.907599
Actenoides bougainvillei,238.6091855,3294.39928,253.1383162,232.2591569,241.07444,223.0157716,937.8853643,937.8853643,1037.22711,355.6734921,30.12188916,376.9534965
Actenoides concretus,249.6095064,2969.025923,284.031793,244.436402,249.8025814,217.6709529,843.6710774,843.6710774,1030.869324,356.7477676,66.36240288,356.6190719
Actenoides hombroni,242.5291076,2775.660887,274.3036258,235.5337669,246.3905798,214.7939746,998.0441067,998.0441067,1166.00078,417.9347228,59.50461525,490.5672921
Actenoides lindsayi,251.0588066,2663.246274,287.7028271,233.6793185,244.3546254,214.0002006,444.8168319,444.8168319,1356.293581,471.3075552,73.70251384,1086.060028
Actenoides monachus,249.7406448,2127.365032,273.0568468,245.7487347,250.3512494,228.9079727,626.7708875,626.7708875,782.6199362,272.4983648,44.15341672,260.463561
Actenoides princeps,220.2427189,2486.274948,249.4486312,216.2430304,220.6577318,195.080393,622.6806008,622.6806008,948.9295341,330.1090858,54.37085126,271.6762039
Actinodura cyanouroptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura egertoni,175.6733738,2678.045606,255.159007,107.1591783,117.4651511,45.929391,63.76860044,63.76860044,1671.968022,588.7238208,209.2285397,4348.94256
Actinodura morrisoniana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura nipalensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura ramsayi,224.0936952,1346.334857,322.8227694,178.138919,192.8707033,116.647946,29.23640404,29.23640404,780.9602963,274.5934871,206.177091,2646.077504
Actinodura sodangorum,206.7024054,2452.331718,260.4269729,170.8379323,183.6690359,134.7067976,212.1126256,212.1126256,1266.912691,449.2749167,125.7189844,2097.331756
Actinodura souliei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura strigula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actinodura waldeni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Actitis hypoleucos,0.799822577,486.2529109,225.2032993,-171.9592643,-99.90395252,-211.8684115,79.42071346,79.42071346,216.7713977,76.28014255,437.0717634,12630.97833
Actitis macularius,45.97847266,629.6672457,248.9028824,-106.5478262,-73.2915317,-153.8895046,94.74968432,94.74968432,258.2754525,90.03947091,402.7933029,10940.57575
Actophilornis africanus,231.7606897,863.4914168,326.5357634,196.3536205,209.6283458,135.7135402,193.9221157,193.9221157,516.4102064,183.1302932,190.8222783,2384.075801
Actophilornis albinucha,264.8825533,1291.787308,316.8190452,241.2993521,242.6924798,198.3215768,14.23891371,14.23891371,997.32505,369.7170999,118.5010577,1383.834435
Adelomyia melanogenys,186.0642469,1831.011793,232.6749569,171.3766972,174.3682596,129.6716308,296.330032,296.330032,744.8730111,259.2603546,103.0023125,841.9376847
Aechmophorus clarkii,103.9110084,429.0810409,288.9624106,-3.181529661,53.33110887,-57.22723757,53.79288418,53.79288418,236.2845436,83.90265303,346.1887557,7852.939663
Aechmophorus occidentalis,93.65929333,435.0725557,278.7314968,-16.63573079,38.99374004,-69.46856376,56.57771878,56.57771878,237.5223311,84.27443687,348.1987694,8059.880776
Aegithalos caudatus,32.80492984,611.2672673,231.9359905,-120.7833636,-63.44328194,-160.2882027,101.2129989,101.2129989,270.9715746,95.32219054,392.2243031,11059.35643
Aegithalos concinnus,168.7515942,1501.518265,279.7054116,80.87157651,91.19709089,29.99568869,86.80125066,86.80125066,828.2218414,290.3754496,249.7096372,5894.507024
Aegithalos exilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegithalos fuliginosus,102.5319382,976.7880447,236.9136163,-1.721272077,-1.689862318,-48.51609269,23.70068957,23.70068957,542.2320305,195.6170966,285.4288206,7206.196088
Aegithalos glaucogularis,138.5533318,851.432253,295.9259302,9.238085331,12.33738658,-44.36624893,45.85133275,45.85133275,502.4898662,186.9553689,340.2911094,8928.281957
Aegithalos iouschistos,82.6848028,1803.217796,177.2796019,6.046414884,22.61111116,-50.03149214,62.03448044,62.03448044,1103.455129,387.929349,227.3059998,5481.965994
Aegithalos leucogenys,125.9396961,404.0456373,302.2234632,6.191478051,157.1850613,-62.68636336,124.8085891,124.8085891,219.9836146,79.27548947,364.9109689,8472.275092
Aegithalos niveogularis,84.32502173,1458.617119,208.9543503,-9.611246944,39.96574372,-78.82504527,188.7067465,188.7067465,984.0317562,341.2093445,287.7833464,6644.481053
Aegithina lafresnayei,244.3970835,2043.966406,305.5920155,211.3724114,217.8369856,167.2518852,159.6534191,159.6534191,1158.784082,405.165717,138.3404514,1974.229289
Aegithina nigrolutea,261.3448015,782.7962409,399.6915755,181.1398736,263.15129,106.9923938,23.50955207,23.50955207,756.1865825,272.3889695,292.702325,4908.222753
Aegithina tiphia,242.2101349,2302.418818,304.7823236,210.1828196,219.7318599,166.4728058,390.2994048,390.2994048,1169.474592,410.8722706,138.3090834,1974.108362
Aegithina viridissima,258.581727,2893.647546,292.3799414,253.2623863,259.1930785,227.5324819,853.4483638,853.4483638,1019.124405,352.9490498,64.84684824,361.441169
Aegolius acadicus,65.39135699,609.1106344,241.8279725,-35.21629379,90.04526221,-83.2293001,173.5998628,173.5998628,275.9833622,96.68225245,325.0575407,7440.721941
Aegolius funereus,-14.39373941,547.6764619,210.5415995,-192.2026331,-126.2509561,-231.9218827,89.05738274,89.05738274,240.4770903,84.265403,442.4636431,12804.07224
Aegolius harrisii,179.2864372,1563.65074,247.174459,142.9104375,160.0014689,97.67017016,303.5679393,303.5679393,582.1156558,203.9677243,149.505186,2378.428761
Aegolius ridgwayi,153.7516821,2253.620735,214.5527045,135.3566948,145.6230045,91.49730443,209.5947169,209.5947169,1087.2253,386.3944052,123.0534945,1117.365304
Aegotheles affinis,240.3002155,2708.217232,263.2223907,236.0795249,239.1626281,218.4437672,486.058237,486.058237,990.3103441,341.2309593,44.76381374,257.8900114
Aegotheles albertisi,160.8403212,2928.707481,192.5683509,154.758248,156.8146804,129.2095008,499.6372241,499.6372241,1011.544761,346.7950031,63.37695993,343.0774598
Aegotheles bennettii,251.8516071,2699.877186,281.0955801,245.7639279,248.563911,221.8478145,480.150894,480.150894,950.8783078,331.0116668,59.2512404,359.2224048
Aegotheles crinifrons,254.0265861,2304.753219,269.1282309,250.4890602,254.0416634,239.4103732,551.1103276,551.1103276,742.6996116,252.4943263,29.72349595,233.9645598
Aegotheles cristatus,214.0833982,581.6594974,324.9702978,146.9332026,202.2228,95.34982457,86.12965435,86.12965435,319.7812403,111.5126248,229.62005,4492.593562
Aegotheles insignis,158.833037,3299.64847,190.6667863,152.8673626,156.5225568,127.8651733,682.6034818,682.6034818,1099.293173,378.8951213,62.81602852,333.8806363
Aegotheles savesi,201.1007279,1619.273316,241.8636549,172.2293554,177.9920289,159.4125702,281.8433437,281.8433437,734.0197469,255.2236702,82.3911374,2057.136966
Aegotheles tatei,258.3762722,4699.075551,291.8541842,247.3902816,262.2305307,225.9550735,1090.996218,1090.996218,1397.05507,503.2798435,65.93502204,620.9064045
Aegotheles terborghi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aegotheles wallacii,237.5072647,3958.448894,268.573824,230.2494943,238.3235102,207.577983,941.7233043,941.7233043,1227.943811,426.1348087,60.99095801,407.2195651
Aegypius monachus,51.32575565,301.8918422,259.0473514,-105.1622338,-29.30933264,-170.094142,46.60253599,46.60253599,186.336307,66.99935191,429.1411838,10915.45584
Aenigmatolimnas marginalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aepypodius arfakianus,175.0681283,3294.506406,206.8941157,168.8498124,172.8303232,144.0247164,689.7158038,689.7158038,1092.560509,376.5297237,62.87946655,349.6875505
Aepypodius bruijnii,238.604244,2730.354184,250.6163431,234.7112486,236.538146,225.5707706,503.806532,503.806532,884.5553736,313.7397111,24.93842087,236.0602221
Aerodramus amelis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus bartschi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus brevirostris,115.934411,1453.81177,211.7010609,39.82063796,48.34295214,-16.95308519,56.4670801,56.4670801,891.4224442,311.6063826,228.6532703,5117.284472
Aerodramus elaphrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus francicus,203.6220631,2415.110045,233.7919546,180.3514266,188.3975036,174.8148921,354.847179,354.847179,1268.70598,438.1707836,58.98626881,1764.75361
Aerodramus fuciphagus,251.8283755,2836.294795,286.0707188,245.214609,250.631896,219.6041935,760.4578075,760.4578075,1039.349398,359.8598007,66.46643037,445.4022698
Aerodramus hirundinaceus,183.681919,3327.46973,215.0930476,177.4734987,181.4596631,152.9071849,697.3267509,697.3267509,1103.57021,380.9818743,62.19323247,351.8836693
Aerodramus infuscatus,235.3402654,2501.576532,265.2006267,229.1959572,237.0927039,209.5836151,645.4519841,645.4519841,974.229386,338.8810027,55.61747055,383.8103167
Aerodramus inquietus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus leucophaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus maximus,252.5426328,3032.502718,286.8263567,247.1896074,252.5712663,220.2530992,858.6509388,858.6509388,1066.494515,369.1847001,66.57483967,364.3326117
Aerodramus mearnsi,251.7500874,2428.471301,285.0826682,239.9780576,248.9429247,220.3929274,500.9908776,500.9908776,1094.868474,381.9176183,64.69102166,769.5142812
Aerodramus nuditarsus,228.7405262,3610.537347,262.7140418,221.1975668,225.9549477,196.8851333,772.5052114,772.5052114,1189.791402,414.2556024,65.83888247,424.7235773
Aerodramus orientalis,221.9186003,3390.77833,236.5529485,216.2744637,221.4511558,206.5596839,883.1815777,883.1815777,1175.880072,399.5850996,29.98293981,335.0698606
Aerodramus papuensis,244.6038019,2743.046283,273.6476856,240.7022619,241.9055525,215.2137026,479.6191608,479.6191608,970.568304,338.4444455,58.4396769,231.6106632
Aerodramus pelewensis,272.8836854,3988.192148,283.8854652,269.7400581,273.800761,262.5515078,831.5939356,831.5939356,1352.275762,463.8182472,21.02987886,197.2067203
Aerodramus salangana,195.5507182,3367.247274,231.991136,191.3224176,193.9995459,160.6813486,844.5528611,844.5528611,1100.000473,377.6677114,71.3077083,309.1383942
Aerodramus sawtelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerodramus spodiopygius,243.3114184,3360.028544,265.0201912,232.2726926,238.6676181,221.0056569,888.3378164,888.3378164,1291.120462,445.4993057,44.027041,725.4370227
Aerodramus terraereginae,236.4862252,1238.491525,304.7421997,198.0752494,211.8789405,156.8496537,65.16576374,65.16576374,823.3133043,281.2705231,147.8926741,2432.353314
Aerodramus unicolor,255.5807805,2373.620118,318.3413122,241.026907,254.3456152,198.3980873,935.4708806,935.4708806,1783.009142,673.4807004,119.9428142,1215.745728
Aerodramus vanikorensis,248.6184581,3010.605903,278.7491954,240.5934902,246.6411069,220.2143405,664.3170023,664.3170023,1096.51915,380.7626455,58.53702951,488.2078152
Aerodramus vulcanorum,192.4604031,3406.71429,225.4453595,187.8314489,189.1069461,155.5573667,600.6915778,600.6915778,1302.266936,449.7888422,69.88952297,296.6626386
Aerodramus whiteheadi,185.057023,2548.576872,229.248775,169.5923745,173.3614493,140.4211475,269.6623318,269.6623318,1270.566636,441.6757974,88.83235755,976.9942768
Aeronautes andecolus,140.5025959,335.9597437,252.8621167,68.77282017,79.81036591,9.385369549,20.89814346,20.89814346,190.6919132,68.87677454,243.4732044,4795.469717
Aeronautes montivagus,209.7073724,2315.364312,253.9536644,199.3607212,206.3187541,164.3790364,654.6595377,654.6595377,944.3979086,330.0930254,89.57109707,599.0779673
Aeronautes saxatalis,140.5575288,487.7165683,302.5696644,51.43055792,156.0918242,-4.290181103,89.57635453,89.57635453,260.851496,92.10361753,306.8598476,6505.452324
Aerospiza castanilius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerospiza tachiro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethia cristatella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethia psittacula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethia pusilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethia pygmaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethomyias arfakianus,202.603279,3249.76932,234.2631854,196.2503044,200.4089239,171.4166063,682.1245884,682.1245884,1079.566822,372.4845437,62.85276544,359.805167
Aethomyias nigrorufus,167.6825162,3235.299434,200.0280647,161.4368235,164.9391749,136.204731,665.1701028,665.1701028,1072.983479,369.9078541,63.8419398,348.7233125
Aethomyias papuensis,143.2469584,3267.85132,175.5630263,137.3170925,140.9444809,112.096427,688.2777949,688.2777949,1079.039994,372.7739253,63.47425643,332.7111615
Aethomyias perspicillatus,165.0151542,3270.994463,197.4988119,158.9108827,162.4827281,133.4817722,680.3694783,680.3694783,1084.075946,374.2259127,64.03318126,340.1280583
Aethomyias rufescens,178.7705605,3465.869147,202.641491,174.465307,180.3367366,154.0110853,758.9187825,758.9187825,1184.6902,403.9058691,48.64325633,255.80253
Aethomyias spilodera,227.0119068,3342.810141,258.5202997,220.6487375,224.8439411,195.7374179,702.5482159,702.5482159,1114.285226,385.9569193,62.78528525,364.7325043
Aethopyga bella,252.0500142,2538.76967,285.2420861,240.0450422,250.0261232,220.5976707,576.3471454,576.3471454,1137.200121,395.787929,64.64295731,778.9513971
Aethopyga boltoni,201.7707588,2243.945005,240.8135665,197.4470416,203.2380267,170.4638217,521.2112583,521.2112583,810.2258701,279.0102541,70.34925538,402.8656411
Aethopyga christinae,236.9931605,1811.953224,294.5227033,185.2183288,187.9696419,152.4446462,76.98186095,76.98186095,948.2863679,332.0433741,142.0747262,3295.522934
Aethopyga duyvenbodei,257.1600009,3665.498899,268.1919446,252.9822377,258.584474,245.3084238,1089.493319,1089.493319,1241.813753,425.6675819,23,230.4500797
Aethopyga eximia,175.663064,3194.203787,211.3821447,170.3294589,172.3828251,138.0998825,633.3879423,633.3879423,1348.205211,469.333234,73.29727368,357.2098743
