species,annual_mean_temperature,annual_precipitation,maximum_temperature_warmest_month,mean_temperature_coldest_quarter,mean_temperature_driest_quarter,minimum_temperature_coldest_month,precipitation_in_coldest_quarter,precipitation_of_coldest_quarter,precipitation_of_wettest_quarter,precipitation_wetest_month,temperature_annual_range,temperature_seasonality
Psilopogon asiaticus,205.5148491,1892.88028,287.2672352,141.7441393,151.6847451,85.56312034,60.16146835,60.16146835,1162.472476,406.4777256,201.7034107,3931.156425
Psilopogon auricularis,213.2551962,2230.687053,266.5867762,183.40263,191.2837178,147.1179579,134.0964418,134.0964418,1160.704954,408.6884816,119.466504,1737.701194
Psilopogon australis,242.0984745,2899.529135,274.2321642,235.6175286,238.2374356,207.080042,533.9605273,533.9605273,1199.753165,419.8426476,67.15638933,401.9091938
Psilopogon chersonesus,207.6996674,2608.000045,248.7591511,197.8686813,202.3240096,168.1973626,539.1645434,539.1645434,1229.119638,450.4193486,80.56206694,678.2937199
Psilopogon chrysopogon,255.4362501,2997.285571,290.2667969,249.9990033,255.6986065,222.8801376,859.433885,859.433885,1048.13458,363.2509782,67.38750412,369.5184531
Psilopogon corvinus,199.9389329,3377.184928,232.8486398,195.2672847,196.6129947,163.1919088,620.4016187,620.4016187,1299.299054,449.1423601,69.65835919,299.7376943
Psilopogon cyanotis,233.4026546,2148.886582,301.5909832,188.1225572,194.6082342,137.1067412,59.14674639,59.14674639,1291.291267,451.7163446,164.4841577,2690.656572
Psilopogon duvaucelii,256.545381,2881.754822,290.6551733,251.2170499,257.4213963,225.3431348,871.2553207,871.2553207,1004.456778,347.869713,65.31098216,358.3370534
Psilopogon eximius,228.2644986,3264.289787,264.1541721,224.0136751,227.34034,193.6363338,823.0360052,823.0360052,1011.83797,346.780995,70.52025005,300.3523334
Psilopogon faber,165.6631998,1772.048222,266.1688461,76.57134639,81.01018643,29.71165171,119.8928592,119.8928592,942.1789812,326.5651659,236.4518041,5960.867871
Psilopogon faiostrictus,240.4013864,1887.399461,301.5156671,201.0769077,205.9776035,158.3108611,72.36402083,72.36402083,1087.218658,379.018275,143.2062563,2385.773823
Psilopogon flavifrons,253.9635457,2112.262224,293.934359,243.2475481,252.8025024,212.9148622,433.4583527,433.4583527,891.2318438,318.2891985,81.01705372,725.4821977
Psilopogon franklinii,193.3293975,1924.728674,268.297864,134.6320728,141.8974738,79.69787055,66.01522626,66.01522626,1164.64823,407.9539418,188.6004697,3622.177975
Psilopogon haemacephalus,241.5377451,2093.718753,312.0879256,203.779598,217.2099296,155.9626052,284.7505735,284.7505735,1190.314145,419.9287884,156.1246684,2333.517244
Psilopogon henricii,254.2017803,2997.51058,289.4201234,248.9536929,254.6833176,221.3323221,875.0122119,875.0122119,1036.526732,360.008593,68.08862131,354.9010832
Psilopogon incognitus,227.4351737,1962.444067,287.2387566,184.5923971,188.7287732,141.373602,72.85764974,72.85764974,1154.195199,402.1650243,145.8660571,2552.776984
Psilopogon javensis,244.2795615,2987.572766,275.5447645,237.9097779,240.6934697,210.4873463,619.4480073,619.4480073,1238.185756,433.8305936,65.05925002,396.4765009
Psilopogon lagrandieri,229.3573361,1988.22781,289.3564554,188.5841316,195.2310547,151.1400864,113.9191075,113.9191075,1149.157377,403.4812815,138.21667,2491.246709
Psilopogon lineatus,234.5262471,2160.996665,304.1318784,189.8902959,197.6427085,137.9788862,100.2051439,100.2051439,1287.935321,451.5074772,166.1531374,2665.574658
Psilopogon malabaricus,255.5837526,2698.715662,324.2013404,241.8909713,252.4537084,195.3047951,1377.248109,1377.248109,2182.725227,828.5857478,128.8971393,1268.427699
Psilopogon monticola,217.5919138,3238.734183,253.9259834,213.6512666,216.0896006,182.606632,797.1204485,797.1204485,982.7371607,335.6120533,71.31858902,287.2770918
Psilopogon mystacophanos,257.6706451,2862.093677,292.2481448,252.0015737,257.9501882,225.8823145,834.2038941,834.2038941,1018.636194,352.955753,66.36513928,382.3490774
Psilopogon nuchalis,165.6840751,2606.546279,243.6171847,108.1440198,125.0944531,77.36112463,299.9125554,299.9125554,1260.331049,448.7500731,166.2547077,4036.942477
Psilopogon oorti,201.9380006,3055.672398,236.3231283,197.4380573,202.6525602,170.2806105,917.1628241,917.1628241,1059.068964,366.7188272,66.04345116,354.0227652
Psilopogon pulcherrimus,202.9339663,3184.440373,239.522183,197.8164614,200.7956939,168.7762663,754.8923436,754.8923436,986.1697745,341.5174726,70.77491767,360.8230618
Psilopogon pyrolophus,213.8895115,2992.654834,248.8556532,208.7006262,214.5030497,181.3429519,906.4263139,906.4263139,1072.411165,371.9731056,67.51117751,385.3967681
Psilopogon rafflesii,258.8001784,2907.06342,293.2876945,253.452338,259.2745393,227.1171094,851.2607036,851.2607036,1027.361531,356.8122459,66.17138554,359.652778
Psilopogon rubricapillus,267.7310289,1694.622287,309.3376272,253.2036082,272.855339,225.9388568,465.994021,465.994021,850.8629424,298.0315598,83.39823333,957.2983148
Psilopogon virens,187.9583119,1757.196136,283.6523204,113.6862925,127.8861602,59.65527244,86.0703575,86.0703575,1025.213501,357.9554241,223.9962189,4856.891797
Psilopogon viridis,251.9858502,2438.284027,327.9646829,234.5885717,246.069567,183.3965812,986.6302181,986.6302181,2009.269489,773.4041089,144.5681611,1467.352268
Psilopogon zeylanicus,253.0980727,1487.994635,362.5186921,201.7958313,231.4244621,141.3523415,249.7746514,249.7746514,1168.569544,423.6528249,221.1654002,3387.004021
Psilopsiagon aurifrons,79.53482424,205.5806421,180.9143131,27.84556445,51.35718194,-37.54912676,17.90697968,17.90697968,150.885488,56.03571077,218.4623921,3410.901582
Psilopsiagon aymara,130.9103007,337.6481571,233.9857321,62.87095013,74.07259199,-0.878362572,11.94065174,11.94065174,216.9396149,78.68560057,234.859481,4398.306751
Psilorhamphus guttatus,198.8034519,1642.776092,269.0862908,158.3943239,170.0945884,114.6727219,267.4167999,267.4167999,632.5728603,221.9132033,154.4139329,2713.827813
Psiloscops flammeolus,104.9564909,728.5465334,265.6702103,23.12098066,145.4707982,-30.10743752,204.985609,204.985609,398.5424229,139.5575804,295.776948,6055.975449
Psittacara brevipes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacara chloropterus,198.4062034,1182.080521,247.0750015,180.6466451,182.5833754,144.465841,126.6173028,126.6173028,481.8102134,177.2472615,102.6097244,1214.383648
Psittacara erythrogenys,233.3347513,1028.791202,274.5000415,224.2183103,225.1569229,183.4991302,51.74591341,51.74591341,657.7085957,230.8958112,91.00229625,701.7195683
Psittacara euops,247.654545,1350.964293,293.3330385,225.1794276,225.7634638,196.7598629,115.2243294,115.2243294,604.6312605,212.6646543,96.57784753,1602.115888
Psittacara finschi,246.7739219,2860.133371,287.0282068,239.121264,250.2961368,217.387791,709.8461896,709.8461896,1272.931009,445.9363315,69.63889618,567.3539465
Psittacara frontatus,168.8341947,563.6423126,224.1594541,156.5607594,159.7237686,104.303326,72.51420517,72.51420517,278.202046,101.1632726,119.8546046,704.2703023
Psittacara holochlorus,219.9289391,1079.028045,309.1788796,168.5721274,196.8027016,115.1159389,99.18916152,99.18916152,610.8414455,223.0714491,194.0642632,3342.020047
Psittacara leucophthalmus,242.6584607,1966.017282,297.1574171,224.7682153,234.019618,187.8555257,447.0404894,447.0404894,830.8140766,287.2094737,109.3024601,1152.914151
Psittacara maugei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacara mitratus,179.9473584,1268.540942,246.2365374,138.2435521,143.0262131,87.16634468,79.7912363,79.7912363,642.7919361,226.7208739,159.0689341,2519.711931
Psittacara strenuus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacara wagleri,196.8727034,2243.044881,235.5179579,191.6431585,195.4659866,160.5520964,528.2643382,528.2643382,839.8422248,291.8551994,74.965945,335.1275995
Psittacella brehmii,155.8894023,3242.937359,187.9425556,149.9522275,153.524775,124.7487183,667.6083466,667.6083466,1079.274904,372.0739095,63.20740353,332.7203081
Psittacella madaraszi,169.6466987,3302.761548,201.9424861,163.3407708,167.0267179,138.2295673,683.3564469,683.3564469,1095.598473,377.7457246,63.72721586,352.9336422
Psittacella modesta,146.2389576,3615.718427,178.0810589,140.1782837,144.9938082,116.4564723,841.136552,841.136552,1157.838839,401.2100387,61.64216463,337.2274587
Psittacella picta,144.4065379,3139.129715,176.2490039,138.5255226,140.5183183,113.0566821,575.9751073,575.9751073,1045.001588,358.7334175,63.21252327,326.6413765
Psittacula alexandri,230.686032,1998.563857,302.9906586,181.8389947,190.4550026,129.7702724,83.51272618,83.51272618,1195.041963,417.8416323,173.2202526,2955.310483
Psittacula calthrapae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula caniceps,270.5441412,3112.297723,284.9986443,264.8548206,272.5857604,256.7944908,1139.53919,1139.53919,1202.363789,431.8762681,28.00306756,456.0844531
Psittacula columboides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula cyanocephala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula derbiana,111.5112721,1080.127995,205.507209,37.75167719,43.33019894,-19.71963732,39.35832258,39.35832258,642.7971895,225.6654864,225.2262578,5008.010212
Psittacula eques,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula eupatria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula finschii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula himalayana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula krameri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula longicauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacula roseata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Psittacus erithacus,235.8842229,1777.433602,282.3165282,226.9692242,236.0084766,196.8338876,468.4180795,468.4180795,724.8294885,254.8524208,85.48416343,662.8895901
Psittacus timneh,252.7613586,2183.486014,305.9068261,238.818772,255.9008861,210.0479619,852.8073627,852.8073627,1113.429874,392.6719092,95.85960778,952.4695827
Psitteuteles versicolor,269.2734092,827.1814142,357.3097437,218.5090877,234.7087254,157.6806629,12.72510607,12.72510607,637.8065946,220.4862542,199.6312036,3007.973898
Psittinus abbotti,267.5305298,3104.364812,281.482532,262.2815523,272.0916483,253.5665328,1046.444199,1046.444199,1050.400907,353.0279291,27.99989993,347.356444
Psittinus cyanurus,259.3773054,2847.919206,293.3427712,253.9794941,260.0522689,228.3569121,847.2429083,847.2429083,1003.232491,347.5082424,64.98585721,365.6640644
Psittrichas fulgidus,211.3248213,3297.137594,243.6455383,204.7868284,208.8300951,179.6211903,686.1180898,686.1180898,1099.913098,380.8439154,64.03220965,371.5783747
Psophia crepitans,249.085407,2668.022559,292.2634201,240.4810311,254.939631,215.4033949,826.2210686,826.2210686,1061.567568,368.2800705,76.85921144,599.1268988
Psophia leucoptera,251.0254575,2276.286947,291.1488342,240.8025281,243.2538047,206.8085254,252.8716266,252.8716266,881.3134538,303.2199938,84.34090343,549.8726482
