x,y,level,level_probability
3.0496012907426557,-1.8151534570129557,80%,0.8
3.073056951258631,-1.736934420021501,80%,0.8
3.0949968411513495,-1.6580584777542346,80%,0.8
3.115411272383067,-1.5785604596068155,80%,0.8
3.1342912305156414,-1.4984754696660956,80%,0.8
3.151628378691054,-1.4178388712091479,80%,0.8
3.167415061312731,-1.3366862710878393,80%,0.8
3.1816443074260397,-1.2550535040058441,80%,0.8
3.194309833796467,-1.1729766166950493,80%,0.8
3.2054060476841153,-1.0904918519983324,80%,0.8
3.214928049313304,-1.0076356328657432,80%,0.8
3.22287163403617,-0.9244445462711557,80%,0.8
3.229233294189318,-0.8409553270564787,80%,0.8
3.234010220642716,-0.7572048417106036,80%,0.8
3.2372003040401145,-0.6732300720901867,80%,0.8
3.2388021357304915,-0.5890680990895061,80%,0.8
3.2388150083900653,-0.5047560862665823,80%,0.8
3.2372389163346345,-0.4203312634327985,80%,0.8
3.234074555522078,-0.33583091021326184,80%,0.8
3.229323323245052,-0.25129233958517183,80%,0.8
3.2229873175139776,-0.16675288140146077,80%,0.8
3.21506933613062,-0.08224986590697919,80%,0.8
3.205572875452657,0.002179392745487674,80%,0.8
3.1945021288497877,0.08649761297209907,80%,0.8
3.181861984852059,0.1706675622204582,80%,0.8
3.1676580249912245,0.25465207341045765,80%,0.8
3.151896521336101,0.3384140613462126,80%,0.8
3.134584433722998,0.42191653909185406,80%,0.8
3.115729406682452,0.5051226343038968,80%,0.8
3.0953397660636117,0.5879956055130424,80%,0.8
3.0734245153577824,0.6704988583481739,80%,0.8
3.049993331722738,0.752595961695401,80%,0.8
3.0250565617095555,0.8342506637850133,80%,0.8
2.998625216693874,0.9154269081992419,80%,0.8
2.97071096801358,0.9960888497937577,80%,0.8
2.9413261418150727,1.0762008705258788,80%,0.8
2.910483713610385,1.1557275951824957,80%,0.8
2.8781973025475622,1.2346339070007686,80%,0.8
2.8444811653968287,1.3128849631747017,80%,0.8
2.8093501902552047,1.390446210240746,80%,0.8
2.7728198899723333,1.4672833993356351,80%,0.8
2.7349063953004524,1.543362601319717,80%,0.8
2.695626447771497,1.6186502217591185,80%,0.8
2.654997392304522,1.6931130157600838,80%,0.8
2.6130371695466668,1.7667181026489946,80%,0.8
2.569764307951073,1.8394329804915497,80%,0.8
2.52519791559524,1.9112255404447,80%,0.8
2.479357671743437,1.9820640809350136,80%,0.8
2.432263818156894,2.0519173216571964,80%,0.8
2.3839371501556084,2.120754417386595,80%,0.8
2.334399007435718,2.1885449715995775,80%,0.8
2.283671264646493,2.255259049895786,80%,0.8
