species_original,species_clean,tree_label,PC1_thermal,PC2_precipitation,mahalanobis_d2,inside_50_core,inside_80_core,inside_95_core,closest_core_level
Cinnyris tsavoensis,cinnyris tsavoensis,cinnyris_tsavoensis,-0.3113390344350775,-0.1669481028043851,0.0020690151117513525,TRUE,TRUE,TRUE,50%
Spinus spinescens,spinus spinescens,spinus_spinescens,-0.37960942351539145,-0.1482193284273258,0.002075449966114616,TRUE,TRUE,TRUE,50%
Rynchops niger,rynchops niger,rynchops_niger,-0.3804400795263352,-0.14577555160696687,0.002179433152463987,TRUE,TRUE,TRUE,50%
Nyctidromus anthonyi,nyctidromus anthonyi,nyctidromus_anthonyi,-0.45337876376092834,-0.22469409898677611,0.0022421001413943926,TRUE,TRUE,TRUE,50%
Merops hirundineus,merops hirundineus,merops_hirundineus,-0.36163858409154426,-0.14158017043652685,0.002313168876200149,TRUE,TRUE,TRUE,50%
Muscipipra vetula,muscipipra vetula,muscipipra_vetula,-0.44056702461926733,-0.1802276845451065,0.002406840766779314,TRUE,TRUE,TRUE,50%
Pseudonigrita arnaudi,pseudonigrita arnaudi,pseudonigrita_arnaudi,-0.4562201861005159,-0.26903844724044174,0.002473510012543772,TRUE,TRUE,TRUE,50%
Phyllomyias virescens,phyllomyias virescens,phyllomyias_virescens,-0.45332796820425686,-0.2034260609176812,0.0024735530830631283,TRUE,TRUE,TRUE,50%
Rhinoptilus chalcopterus,rhinoptilus chalcopterus,rhinoptilus_chalcopterus,-0.2647747334817302,-0.21720466965173954,0.0025540292172224186,TRUE,TRUE,TRUE,50%
Aramides saracura,aramides saracura,aramides_saracura,-0.45093569333081135,-0.2909034939326143,0.0025560905321422227,TRUE,TRUE,TRUE,50%
Syrigma sibilatrix,syrigma sibilatrix,syrigma_sibilatrix,-0.4508558801158423,-0.1897148778546694,0.0026107587891144716,TRUE,TRUE,TRUE,50%
Anhinga novaehollandiae,anhinga novaehollandiae,anhinga_novaehollandiae,-0.2572439399826237,-0.26350027452601943,0.002611451903174354,TRUE,TRUE,TRUE,50%
Mirafra pulpa,mirafra pulpa,mirafra_pulpa,-0.25825231398822635,-0.23866506109446872,0.0026257734553487414,TRUE,TRUE,TRUE,50%
Vanellus tectus,vanellus tectus,vanellus_tectus,-0.25708008930216497,-0.2665716232781271,0.0026287224297380776,TRUE,TRUE,TRUE,50%
Streptopelia decipiens,streptopelia decipiens,streptopelia_decipiens,-0.271492253713545,-0.19685888648396474,0.00264267803905465,TRUE,TRUE,TRUE,50%
