PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,variable,PC1_thermal,PC2_precipitation
-0.3006319899648496,0.33211138307542043,-0.1320046519048251,0.03617894362877416,0.15726131585182906,-0.2798390163952155,-0.09814597302884308,0.7376336340286516,0.045274202181474744,-0.34894344495889623,-6.2923474876411e-5,-3.090370169601504e-15,annual_mean_temperature,0.3006319899648496,0.03617894362877416
-0.28941108712753194,-0.33570285506921976,-0.08411275411537379,0.09979679650713333,0.7788984818473061,0.13037709904929137,0.39619613529544695,-0.05030473750214448,0.05711156044897009,0.008108667146287671,4.134626946966368e-5,7.29043773276418e-16,annual_precipitation,0.28941108712753194,0.09979679650713333
-0.098047121071769,0.4692857626722564,-0.6441770562996653,-0.04910484896486858,0.01798209592283619,-0.15013221766864945,0.16545888246688623,-0.446360613153494,-0.030978567042902777,-0.09584148238911838,-0.30522046174442174,1.6831786339212215e-14,maximum_temperature_warmest_month,0.098047121071769,-0.04910484896486858
-0.328160481600998,0.24943676500519069,0.09196729018474337,0.009151858010871263,-0.04666318095258407,-0.19714354964913586,0.13994057097399606,0.12969703348785516,0.030197635356476238,0.8620850577887744,6.435845916607903e-6,3.1993266652317358e-16,mean_temperature_coldest_quarter,0.328160481600998,0.009151858010871263
-0.30714998587161163,0.30018617864619296,-0.009827290918383755,-0.11228150276512867,-0.0816012500043864,0.8857855019269777,-0.06524738804361709,0.08485610195281577,0.008745155962429644,-0.005869919277586332,-1.5147040716051738e-6,2.2102836393016645e-16,mean_temperature_driest_quarter,0.30714998587161163,-0.11228150276512867
-0.33667432685348797,0.20313692319033175,0.11394096076512371,-0.020180407613406216,0.1535646482547579,-0.15987931593949237,-0.3355702052489283,-0.39543199310783234,-0.04336912230925256,-0.11164698958696913,0.7067763047431326,-3.4477766010529987e-14,minimum_temperature_coldest_month,0.33667432685348797,-0.020180407613406216
-0.25915741562712113,-0.3251559437858714,-0.1819866971569049,-0.5124395741387843,-0.15367930826624995,-0.06741522477874502,-0.045580420854661734,0.03399309985345237,-0.0010232759771980134,-0.0011295562385481267,-1.2060440074054808e-5,-0.7071067811865481,precipitation_in_coldest_quarter,0.25915741562712113,-0.5124395741387843
-0.2591574156271212,-0.32515594378587154,-0.18198669715690502,-0.5124395741387847,-0.15367930826625073,-0.06741522477874598,-0.04558042085466212,0.03399309985345745,-0.0010232759771970107,-0.0011295562385493132,-1.2060440002834421e-5,0.707106781186547,precipitation_of_coldest_quarter,0.2591574156271212,-0.5124395741387847
-0.282345990103174,-0.2713994648720399,-0.21757465045324004,0.46509515178831257,-0.22197927259562011,0.02844489303142294,-0.062350663431814383,0.04564815695952031,-0.7257820496127348,0.012489257306322984,-9.822943282584973e-5,3.7104235077147784e-16,precipitation_of_wettest_quarter,0.282345990103174,0.46509515178831257
-0.280696888646109,-0.26501890926682425,-0.22195705606628102,0.4813250909218274,-0.291319619021148,0.013106762527290608,-0.13480797660202587,-0.059263321552626314,0.6804470460195022,-0.017407671164633952,8.72198511152612e-5,-3.742883774994095e-16,precipitation_wettest_month,0.280696888646109,0.4813250909218274
0.3259248677479291,-4.9052483110346e-4,-0.4342661383184494,-0.001152283713365098,-0.16150797455930452,0.1052219254212683,0.45074172947136476,0.22453511068594556,0.0330090920708826,0.0777587927565603,0.6382066289671502,-3.281508263359296e-14,temperature_annual_range,-0.3259248677479291,-0.001152283713365098
0.3190708705768731,-0.08851969361985115,-0.4330930361080345,-0.006704522394194259,0.35830567504979893,0.10939445182439884,-0.6634661625605328,0.12416499317867162,-3.5865938479061647e-4,0.3267858452916258,1.6392862462400232e-5,-8.245612139745676e-17,temperature_seasonality,-0.3190708705768731,-0.006704522394194259
